Address (block of),Locatison,Neighborhood,Gender,Cause,Story url,Location,age,Latitude,Longitude
100 N. Green St.,Sidewalk,Near West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/murder-charges-new-years-day-chicago-near-west-side.html,100 N. Green St. Chicago,47,41.883,-87.649
11300 S. Racine Ave.,Alley,Morgan Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/man-shot-in-vehicle-on-far-south-side.html,11300 S. Racine Ave. Chicago,34,41.688,-87.652
2100 E. 68th St.,Street,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/man-found-shot-to-death-in-vehicle.html,2100 E. 68th St. Chicago,40,41.772,-87.574
9200 S. Dobson Ave.,,Burnside,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/man-shot-dead-south-side.html,9200 S. Dobson Ave. Chicago,20,41.727,-87.599
5900 S. Springfield Ave.,Sidewalk,West Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/man-shot-dead-on-south-side-1.html,5900 S. Springfield Ave. Chicago,18,41.786,-87.721
5000 S. Wabash Ave.,Street,Grand Blvd.,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/shooting-south-side-homicide-bronzeville.html,5000 S. Wabash Ave. Chicago,28,41.804,-87.624
8900 S. Halsted St.,Street,Washington Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/man-found-fatally-shot-in-trunk-of-vehicle.html,8900 S. Halsted St. Chicago,34,41.732,-87.644
6500 S. Western Ave.,Street,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/south-side-shooting-homicide.html,6500 S. Western Ave. Chicago,21,41.775,-87.684
6200 S. Sacramento Ave.,Apartment,Chicago Lawn,Male,Stabbing,http://www.chicagobreakingnews.com/2009/01/rodney-bryant-greg-stabbed-sacramento.html,6200 S. Sacramento Ave. Chicago,19,41.781,-87.699
4600 S. Drake Ave.,Street,Brighton Park,Female,Strangling,http://www.chicagobreakingnews.com/2009/01/womans-body-found-on-southwest-side.html,4600 S. Drake Ave. Chicago,29,41.810,-87.712
3700 W. Lexington St.,Residence,East Garfield Park,Male,Stabbing,http://www.chicagobreakingnews.com/2009/01/man-fatally-stabbed-in-west-garfield-park.html,3700 W. Lexington St. Chicago,54,41.872,-87.718
0 W. 15th St.,Residence,Near South Side,Female,Gunshot,http://www.chicagobreakingnews.com/2009/01/woman-infant-found-slain-on-south-side.html,0 W. 15th St. Chicago,24,41.862,-87.627
0 W. 15th St.,Residence,Near South Side,Female,Gunshot,http://www.chicagobreakingnews.com/2009/01/woman-infant-found-slain-on-south-side.html,0 W. 15th St. Chicago,$null$,41.862,-87.627
1100 W. 122nd St.,School,West Pullman,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/police-alerts-ask-for-public-help.html,1100 W. 122nd St. Chicago,33,41.672,-87.649
2000 W. 70th Pl.,Residence,West Englewood,Male,Stabbing,http://www.chicagobreakingnews.com/2009/01/man-charged-in-brothers-killing.html,2000 W. 70th Pl. Chicago,35,41.766,-87.674
1600 S. Loomis St.,Residential yard,Lower West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/man-found-fatally-shot-in-pilsen-alley.html,1600 S. Loomis St. Chicago,43,41.860,-87.662
8100 S. Houston Ave.,Alley,South Chicago,Male,Gunshot,,8100 S. Houston Ave. Chicago,47,41.748,-87.551
6800 S. Indiana Ave.,Apartment,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/2-found-slain-in-south-side-apartment.html,6800 S. Indiana Ave. Chicago,36,41.771,-87.621
6800 S. Indiana Ave.,Apartment,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/2-found-slain-in-south-side-apartment.html,6800 S. Indiana Ave. Chicago,51,41.771,-87.621
12200 S. State St.,Residence,West Pullman,Male,Stabbing,http://www.chicagobreakingnews.com/2009/02/1m-bail-in-west-pullman-slaying.html,12200 S. State St. Chicago,61,41.672,-87.623
1400 W. Lake St.,Bar or tavern,Near West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/3-wounded-on-near-west-side-street.html,1400 W. Lake St. Chicago,28,41.885,-87.662
8100 S. Eberhart Ave.,Sidewalk,Chatham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/01/man-killed-in-south-side-street-robbery.html,8100 S. Eberhart Ave. Chicago,55,41.747,-87.613
3900 W. Argyle St.,Apartment,Albany Park,Female,Arson,http://www.chicagobreakingnews.com/2009/03/2nd-suspect-in-fatal-arson-released.html,3900 W. Argyle St. Chicago,7,41.972,-87.726
3900 W. Argyle St.,Apartment,Albany Park,Female,Arson,http://www.chicagobreakingnews.com/2009/03/2nd-suspect-in-fatal-arson-released.html,3900 W. Argyle St. Chicago,23,41.972,-87.726
8100 S. Drexel Ave.,Sidewalk,Chatham,Male,Stabbing,http://www.chicagobreakingnews.com/2009/02/4-women-charged-in-stabbing-slaying.html,8100 S. Drexel Ave. Chicago,30,41.747,-87.603
10300 S. Doty Ave.,Other,South Deering,Male,Gunshot,,10300 S. Doty Ave. Chicago,50,41.704,-87.588
6200 S. Laflin St.,Street,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/man-fatally-shot-in-west-englewood-cops-say.html,6200 S. Laflin St. Chicago,48,41.781,-87.662
7200 S. Racine Ave.,Sidewalk,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/georgia-man-slain-in-englewood-officials-say.html,7200 S. Racine Ave. Chicago,24,41.763,-87.654
5900 S. Campbell Ave.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/teen-shot-marquette-park-campbell.html,5900 S. Campbell Ave. Chicago,16,41.786,-87.686
5200 W. Lake St.,Car wash,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/man-charged-in-double-homicide-at-carwash.html,5200 W. Lake St. Chicago,28,41.887,-87.756
5200 W. Lake St.,Car wash,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/man-charged-in-double-homicide-at-carwash.html,5200 W. Lake St. Chicago,34,41.887,-87.756
2400 W. Adams St.,Porch/hallway,Near West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/2-slain-in-separate-west-side-shootings.html,2400 W. Adams St. Chicago,22,41.879,-87.686
7500 S. Wabash Ave.,Street,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/man-slain-in-south-side-shooting.html,7500 S. Wabash Ave. Chicago,19,41.758,-87.623
1900 S. Loomis St.,Sidewalk,Lower West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/2-slain-in-separate-west-side-shootings.html,1900 S. Loomis St. Chicago,16,41.856,-87.662
1500 S. Avers Ave.,Apartment,North Lawndale,Male,Stabbing,http://www.chicagobreakingnews.com/2009/02/3-chicagoans-slain-in-sunday-attacks.html,1500 S. Avers Ave. Chicago,23,41.861,-87.722
7800 S. Western Ave.,Not available,Ashburn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/3-chicagoans-slain-in-sunday-attacks.html,7800 S. Western Ave. Chicago,21,41.752,-87.683
2900 W. 63rd St.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/3-chicagoans-slain-in-sunday-attacks.html,2900 W. 63rd St. Chicago,33,41.779,-87.696
7200 S. Calumet Ave.,Alley,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/man-found-slain-in-south-side-alley.html,7200 S. Calumet Ave. Chicago,30,41.764,-87.617
1500 W. 58th St.,Vacant property,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/teen-found-shot-in-vacant-lot.html,1500 W. 58th St. Chicago,18,41.789,-87.662
2500 W. 42nd St.,Street,Brighton Park,Female,Gunshot,http://www.chicagobreakingnews.com/2009/02/girl-16-shot-in-van-dies.html,2500 W. 42nd St. Chicago,16,41.817,-87.687
8700 S. Exchange Ave.,Street,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/family-friends-mourn-shooting-victims.html,8700 S. Exchange Ave. Chicago,13,41.737,-87.553
8700 S. Exchange Ave.,Street,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/family-friends-mourn-shooting-victims.html,8700 S. Exchange Ave. Chicago,17,41.737,-87.553
8700 S. Exchange Ave.,Street,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/family-friends-mourn-shooting-victims.html,8700 S. Exchange Ave. Chicago,15,41.737,-87.553
1300 S. Loomis St.,CHA parking lot,Near West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/1-dead-2-critical-in-west-side-shootings.html,1300 S. Loomis St. Chicago,28,41.865,-87.662
7000 S. Wolcott Ave.,,West Englewood,Male,Trauma,http://www.nbcchicago.com/news/local-beat/five-month-old-death-022609.html,7000 S. Wolcott Ave. Chicago,$null$,41.767,-87.671
800 N. Laramie Ave.,Street,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/driver-shot-killed-on-west-side.html,800 N. Laramie Ave. Chicago,34,41.895,-87.756
100 N. Central Ave.,Alley,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/murder-charge-in-slaying-of-west-side-man.html,100 N. Central Ave. Chicago,21,41.882,-87.765
5600 S. Laflin St.,Street,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/02/man-26-slain-in-englewood-shooting.html,5600 S. Laflin St. Chicago,26,41.792,-87.662
2600 W. 25th St.,Alley,South Lawndale,Male,Strangling,http://www.chicagobreakingnews.com/2009/02/man-found-dead-was-strangled.html,2600 W. 25th St. Chicago,21,41.847,-87.691
10500 S. Normal Ave.,Residence,Roseland,Male,Stabbing,http://www.chicagobreakingnews.com/2009/03/father-questioned-in-sons-stabbing-death.html,10500 S. Normal Ave. Chicago,47,41.703,-87.635
5500 W. Monroe St.,Residential yard,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/man-slain-in-west-side-shooting-cops-say.html,5500 W. Monroe St. Chicago,36,41.880,-87.762
3200 E. 92nd St.,Residence,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/male-slain-in-southeast-side-shooting.html,3200 E. 92nd St. Chicago,18,41.729,-87.547
3100 N. Newcastle Ave.,Street,Montclare,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/man-fatally-shot-on-northwest-side.html,3100 N. Newcastle Ave. Chicago,37,41.936,-87.797
500 N. Central Ave.,,Austin,Male,Stabbing,http://www.chicagobreakingnews.com/2009/03/austin-man-stabbed-to-death-officials-say.html,500 N. Central Ave. Chicago,22,41.889,-87.765
11600 S. Church St.,Sidewalk,Morgan Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/1-man-killed-1-wounded-in-morgan-park.html,11600 S. Church St. Chicago,29,41.682,-87.671
4900 N. Ridgeway Ave.,Sidewalk,Albany Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/albany-park-shot-ainslie.html,4900 N. Ridgeway Ave. Chicago,17,41.970,-87.722
3200 W. Walnut St.,Porch/hallway,East Garfield Park,Male,Gunshot,,3200 W. Walnut St. Chicago,33,41.886,-87.706
1100 W. 110th Pl.,Street,Morgan Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/male-shot-on-far-south-side.html,1100 W. 110th Pl. Chicago,14,41.693,-87.650
5000 W. LeMoyne St.,Sidewalk,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/cicero-teen-dies-after-chicago-shooting.html,5000 W. LeMoyne St. Chicago,17,41.908,-87.751
12200 S. Harvard Ave.,Residential yard,West Pullman,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/1-killed-1-injured-in-west-pullman-shooting.html,12200 S. Harvard Ave. Chicago,21,41.672,-87.631
1500 E. 65th Pl.,Vacant property,Woodlawn,Male,Gunshot,http://www.chicagobreakingnews.com/2010/01/teen-charged-in-15-year-olds-slaying-last-spring-lee-ivory-miller-woodlawn-south-side.html,1500 E. 65th Pl. Chicago,15,41.776,-87.589
1800 S. Millard Ave.,Sidewalk,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/man-shot-killed-in-lawndale.html,1800 S. Millard Ave. Chicago,59,41.857,-87.716
1700 N. Karlov Ave.,Alley,Humboldt Park,Male,Stabbing,http://www.chicagobreakingnews.com/2009/03/another-shooting-reported-in-city.html,1700 N. Karlov Ave. Chicago,26,41.912,-87.729
3200 S. Lawndale Ave.,Parking lot,South Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/2-shot-in-little-village.html,3200 S. Lawndale Ave. Chicago,31,41.835,-87.717
900 E. 84th St.,,Chatham,Male,Stabbing,http://www.chicagobreakingnews.com/2009/03/man-killed-in-possible-domestic-dispute.html,900 E. 84th St. Chicago,31,41.742,-87.603
9100 S. Loomis St.,Street,Washington Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/man-23-shot-killed-on-south-side.html,9100 S. Loomis St. Chicago,23,41.728,-87.658
4100 W. Taylor St.,Street,West Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/man-26-found-slain-on-west-side.html,4100 W. Taylor St. Chicago,26,41.869,-87.728
10700 S. Eggleston Ave.,Porch/hallway,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/03/person-severely-wounded-in-roseland-shooting.html,10700 S. Eggleston Ave. Chicago,30,41.700,-87.634
6800 S. Peoria St.,Residential yard,Englewood,Female,Gunshot,http://www.chicagobreakingnews.com/2009/04/woman-found-fatally-stabbed-in-back-yard.html,6800 S. Peoria St. Chicago,41,41.769,-87.647
6100 S. Cottage Grove Ave.,Sidewalk,Woodlawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/teen-shot-killed-on-south-side.html,6100 S. Cottage Grove Ave. Chicago,17,41.784,-87.606
1400 N. Mason Ave.,Street,Austin,Male,Gunshot,,1400 N. Mason Ave. Chicago,41,41.906,-87.775
5400 W. Division St.,Park,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/young-person-shot-at-west-side-park.html,5400 W. Division St. Chicago,28,41.902,-87.761
6400 S. Ingleside Ave.,Street,Woodlawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/man-slain-in-woodlawn-shooting-police-say.html,6400 S. Ingleside Ave. Chicago,28,41.779,-87.602
7100 S. Marshfield Ave.,Residence,West Englewood,Male,Gunshot,http://mobile.chicagotribune.com/inf/infomo?view=breakingnews_article&feed:a=chi_trib_1min&feed:c=latest_breaking_news&feed:i=7377A89E1843E66A1B5CFA74FD47221A,7100 S. Marshfield Ave. Chicago,23,41.765,-87.665
6200 S. Campbell Ave.,Residence,Chicago Lawn,Male,Gunshot,http://www.myfoxchicago.com/dpp/news/Fatal_XBox,6200 S. Campbell Ave. Chicago,24,41.781,-87.686
